prompt,true answer,subject,relation,relation id,object,template,cue entity start idx,cue entity end idx,true object first token id
Isetta is produced by,BMW,Isetta,manufacturer,P176,BMW,[X] is produced by [Y].,0,2,12261
Isetta is developed by,BMW,Isetta,manufacturer,P176,BMW,[X] is developed by [Y].,0,2,12261
Isetta is created by,BMW,Isetta,manufacturer,P176,BMW,[X] is created by [Y].,0,2,12261
Isetta is a product of,BMW,Isetta,manufacturer,P176,BMW,[X] is a product of [Y].,0,2,12261
Bionz is created by,Sony,Bionz,manufacturer,P176,Sony,[X] is created by [Y].,0,2,32895
"Bangladesh, which was named after",Bengali,Bangladesh,named after,P138,Bengali,"[X], which was named after [Y].",0,2,33
"Bangladesh, which was named for",Bengali,Bangladesh,named after,P138,Bengali,"[X], which was named for [Y].",0,2,33
"Bangladesh, named for",Bengali,Bangladesh,named after,P138,Bengali,"[X], named for [Y].",0,2,33
"Bangladesh, named after",Bengali,Bangladesh,named after,P138,Bengali,"[X], named after [Y].",0,2,33
"francium, which is named after",France,francium,named after,P138,France,"[X], which is named after [Y].",0,2,28572
"francium, which was named after",France,francium,named after,P138,France,"[X], which was named after [Y].",0,2,28572
"francium, named for",France,francium,named after,P138,France,"[X], named for [Y].",0,2,28572
francium is called after,France,francium,named after,P138,France,[X] is called after [Y].,0,2,28572
"francium, called after",France,francium,named after,P138,France,"[X], called after [Y].",0,2,28572
Savoie is named after,Savoy,Savoie,named after,P138,Savoy,[X] is named after [Y].,0,2,47362
Savoie was named after,Savoy,Savoie,named after,P138,Savoy,[X] was named after [Y].,0,2,47362
Savoie is called after,Savoy,Savoie,named after,P138,Savoy,[X] is called after [Y].,0,2,47362
Savoie was called after,Savoy,Savoie,named after,P138,Savoy,[X] was called after [Y].,0,2,47362
"Savoie, called after",Savoy,Savoie,named after,P138,Savoy,"[X], called after [Y].",0,2,47362
saltire was called after,Andrew,saltire,named after,P138,Andrew,[X] was called after [Y].,0,2,20508
Filadelfia was called after,Philadelphia,Filadelfia,named after,P138,Philadelphia,[X] was called after [Y].,0,3,42349
Burdigalian was named after,Bordeaux,Burdigalian,named after,P138,Bordeaux,[X] was named after [Y].,0,3,33
Burdigalian is named for,Bordeaux,Burdigalian,named after,P138,Bordeaux,[X] is named for [Y].,0,3,33
Burdigalian was named for,Bordeaux,Burdigalian,named after,P138,Bordeaux,[X] was named for [Y].,0,3,33
"Burdigalian, which is named after",Bordeaux,Burdigalian,named after,P138,Bordeaux,"[X], which is named after [Y].",0,3,33
"Burdigalian, which was named after",Bordeaux,Burdigalian,named after,P138,Bordeaux,"[X], which was named after [Y].",0,3,33
"Burdigalian, which is named for",Bordeaux,Burdigalian,named after,P138,Bordeaux,"[X], which is named for [Y].",0,3,33
"Burdigalian, which was named for",Bordeaux,Burdigalian,named after,P138,Bordeaux,"[X], which was named for [Y].",0,3,33
"Burdigalian, named for",Bordeaux,Burdigalian,named after,P138,Bordeaux,"[X], named for [Y].",0,3,33
Burdigalian was called after,Bordeaux,Burdigalian,named after,P138,Bordeaux,[X] was called after [Y].,0,3,33
norite is named after,Norway,norite,named after,P138,Norway,[X] is named after [Y].,0,1,21991
norite was named after,Norway,norite,named after,P138,Norway,[X] was named after [Y].,0,1,21991
norite is named for,Norway,norite,named after,P138,Norway,[X] is named for [Y].,0,1,21991
"norite, called after",Norway,norite,named after,P138,Norway,"[X], called after [Y].",0,1,21991
"Eibenstock, which is located in",Germany,Eibenstock,country,P17,Germany,"[X], which is located in [Y].",0,3,27079
"Eibenstock, located in",Germany,Eibenstock,country,P17,Germany,"[X], located in [Y].",0,3,27079
"Glencree, located in",Ireland,Glencree,country,P17,Ireland,"[X], located in [Y].",0,2,49752
"Wismar, which is located in",Germany,Wismar,country,P17,Germany,"[X], which is located in [Y].",0,2,27079
"Wismar, located in",Germany,Wismar,country,P17,Germany,"[X], located in [Y].",0,2,27079
"Didymoteicho, located in",Greece,Didymoteicho,country,P17,Greece,"[X], located in [Y].",0,3,38
"Hagenow, located in",Germany,Hagenow,country,P17,Germany,"[X], located in [Y].",0,2,27079
"Putyvl, which is located in",Ukraine,Putyvl,country,P17,Ukraine,"[X], which is located in [Y].",0,2,44814
"Putyvl, located in",Ukraine,Putyvl,country,P17,Ukraine,"[X], located in [Y].",0,2,44814
"Badoc, which is located in",Philippines,Badoc,country,P17,Philippines,"[X], which is located in [Y].",0,1,49680
"Badoc, located in",Philippines,Badoc,country,P17,Philippines,"[X], located in [Y].",0,1,49680
"Valvasone, located in",Italy,Valvasone,country,P17,Italy,"[X], located in [Y].",0,2,45001
"Canjuers, which is located in",France,Canjuers,country,P17,France,"[X], which is located in [Y].",0,2,28572
"Yuquot, located in",Canada,Yuquot,country,P17,Canada,"[X], located in [Y].",0,2,17940
"Bispebjerg, which is located in",Denmark,Bispebjerg,country,P17,Denmark,"[X], which is located in [Y].",0,4,21306
"Dwarka, located in",India,Dwarka,country,P17,India,"[X], located in [Y].",0,2,21569
"Allersberg, which is located in",Germany,Allersberg,country,P17,Germany,"[X], which is located in [Y].",0,2,27079
"Allersberg, located in",Germany,Allersberg,country,P17,Germany,"[X], located in [Y].",0,2,27079
"Montemitro, located in",Italy,Montemitro,country,P17,Italy,"[X], located in [Y].",0,3,45001
"Jemappes, which is located in",Belgium,Jemappes,country,P17,Belgium,"[X], which is located in [Y].",0,3,12193
"Jemappes, located in",Belgium,Jemappes,country,P17,Belgium,"[X], located in [Y].",0,3,12193
"Ghatanji, which is located in",India,Ghatanji,country,P17,India,"[X], which is located in [Y].",0,3,21569
"Ghatanji, located in",India,Ghatanji,country,P17,India,"[X], located in [Y].",0,3,21569
"Kapar, which is located in",Malaysia,Kapar,country,P17,Malaysia,"[X], which is located in [Y].",0,2,15029
"Kapar, located in",Malaysia,Kapar,country,P17,Malaysia,"[X], located in [Y].",0,2,15029
"Panagarh, which is located in",India,Panagarh,country,P17,India,"[X], which is located in [Y].",0,2,21569
"Panagarh, located in",India,Panagarh,country,P17,India,"[X], located in [Y].",0,2,21569
"Augustdorf, which is located in",Germany,Augustdorf,country,P17,Germany,"[X], which is located in [Y].",0,2,27079
"Augustdorf, located in",Germany,Augustdorf,country,P17,Germany,"[X], located in [Y].",0,2,27079
"Capdenac, which is located in",France,Capdenac,country,P17,France,"[X], which is located in [Y].",0,2,28572
"Capdenac, located in",France,Capdenac,country,P17,France,"[X], located in [Y].",0,2,28572
"Bungsberg, which is located in",Germany,Bungsberg,country,P17,Germany,"[X], which is located in [Y].",0,3,27079
"Bungsberg, located in",Germany,Bungsberg,country,P17,Germany,"[X], located in [Y].",0,3,27079
"Maella, which is located in",Spain,Maella,country,P17,Spain,"[X], which is located in [Y].",0,1,45355
"Maella, located in",Spain,Maella,country,P17,Spain,"[X], located in [Y].",0,1,45355
"Gallese, which is located in",Italy,Gallese,country,P17,Italy,"[X], which is located in [Y].",0,1,45001
"Gallese, located in",Italy,Gallese,country,P17,Italy,"[X], located in [Y].",0,1,45001
"Uromi, located in",Nigeria,Uromi,country,P17,Nigeria,"[X], located in [Y].",0,2,45
"Rottendorf, located in",Germany,Rottendorf,country,P17,Germany,"[X], located in [Y].",0,3,27079
"Narman, which is located in",Turkey,Narman,country,P17,Turkey,"[X], which is located in [Y].",0,1,31632
"Ledaal, located in",Norway,Ledaal,country,P17,Norway,"[X], located in [Y].",0,2,21991
"Zuiderzee, which is located in",Netherlands,Zuiderzee,country,P17,Netherlands,"[X], which is located in [Y].",0,3,45
"Zuiderzee, located in",Netherlands,Zuiderzee,country,P17,Netherlands,"[X], located in [Y].",0,3,45
"Bolpur, which is located in",India,Bolpur,country,P17,India,"[X], which is located in [Y].",0,2,21569
"Kretinga, which is located in",Lithuania,Kretinga,country,P17,Lithuania,"[X], which is located in [Y].",0,3,43
"Kretinga, located in",Lithuania,Kretinga,country,P17,Lithuania,"[X], located in [Y].",0,3,43
"Ustevatn, which is located in",Norway,Ustevatn,country,P17,Norway,"[X], which is located in [Y].",0,4,21991
"Imsland, located in",Norway,Imsland,country,P17,Norway,"[X], located in [Y].",0,2,21991
"Medaram, which is located in",India,Medaram,country,P17,India,"[X], which is located in [Y].",0,1,21569
"Medaram, located in",India,Medaram,country,P17,India,"[X], located in [Y].",0,1,21569
"Buchans, which is located in",Canada,Buchans,country,P17,Canada,"[X], which is located in [Y].",0,2,17940
"Buchans, located in",Canada,Buchans,country,P17,Canada,"[X], located in [Y].",0,2,17940
"Papanasam, located in",India,Papanasam,country,P17,India,"[X], located in [Y].",0,3,21569
"Sardent, which is located in",France,Sardent,country,P17,France,"[X], which is located in [Y].",0,2,28572
"Sardent, located in",France,Sardent,country,P17,France,"[X], located in [Y].",0,2,28572
"Palladam, located in",India,Palladam,country,P17,India,"[X], located in [Y].",0,3,21569
"Shoranur, which is located in",India,Shoranur,country,P17,India,"[X], which is located in [Y].",0,2,21569
"Shoranur, located in",India,Shoranur,country,P17,India,"[X], located in [Y].",0,2,21569
"Honnavar, which is located in",India,Honnavar,country,P17,India,"[X], which is located in [Y].",0,2,21569
"Honnavar, located in",India,Honnavar,country,P17,India,"[X], located in [Y].",0,2,21569
"Singel, which is located in",Netherlands,Singel,country,P17,Netherlands,"[X], which is located in [Y].",0,1,45
"Risod, located in",India,Risod,country,P17,India,"[X], located in [Y].",0,2,21569
"Vaujany, which is located in",France,Vaujany,country,P17,France,"[X], which is located in [Y].",0,3,28572
"Vaujany, located in",France,Vaujany,country,P17,France,"[X], located in [Y].",0,3,28572
"Rantum, which is located in",Germany,Rantum,country,P17,Germany,"[X], which is located in [Y].",0,2,27079
"Rantum, located in",Germany,Rantum,country,P17,Germany,"[X], located in [Y].",0,2,27079
"Bolvadin, which is located in",Turkey,Bolvadin,country,P17,Turkey,"[X], which is located in [Y].",0,3,31632
"Bolvadin, located in",Turkey,Bolvadin,country,P17,Turkey,"[X], located in [Y].",0,3,31632
"Selbu, which is located in",Norway,Selbu,country,P17,Norway,"[X], which is located in [Y].",0,1,21991
"Arve, which is located in",France,Arve,country,P17,France,"[X], which is located in [Y].",0,1,28572
"Arve, located in",France,Arve,country,P17,France,"[X], located in [Y].",0,1,28572
"Avord, which is located in",France,Avord,country,P17,France,"[X], which is located in [Y].",0,1,28572
"Tirebolu, which is located in",Turkey,Tirebolu,country,P17,Turkey,"[X], which is located in [Y].",0,3,31632
"Tirebolu, located in",Turkey,Tirebolu,country,P17,Turkey,"[X], located in [Y].",0,3,31632
"Dundalk, located in",Ireland,Dundalk,country,P17,Ireland,"[X], located in [Y].",0,2,49752
"Singarapettai, located in",India,Singarapettai,country,P17,India,"[X], located in [Y].",0,4,21569
"Junnar, located in",India,Junnar,country,P17,India,"[X], located in [Y].",0,2,21569
"Mudgee, which is located in",Australia,Mudgee,country,P17,Australia,"[X], which is located in [Y].",0,2,27429
"Mudgee, located in",Australia,Mudgee,country,P17,Australia,"[X], located in [Y].",0,2,27429
"Nintendo, which is located in",Japan,Nintendo,country,P17,Japan,"[X], which is located in [Y].",0,0,16504
"Emscher, which is located in",Germany,Emscher,country,P17,Germany,"[X], which is located in [Y].",0,2,27079
"Emscher, located in",Germany,Emscher,country,P17,Germany,"[X], located in [Y].",0,2,27079
"bpost, which is located in",Belgium,bpost,country,P17,Belgium,"[X], which is located in [Y].",0,1,12193
"bpost, located in",Belgium,bpost,country,P17,Belgium,"[X], located in [Y].",0,1,12193
"Flieden, which is located in",Germany,Flieden,country,P17,Germany,"[X], which is located in [Y].",0,2,27079
"Flieden, located in",Germany,Flieden,country,P17,Germany,"[X], located in [Y].",0,2,27079
"Cappoquin, which is located in",Ireland,Cappoquin,country,P17,Ireland,"[X], which is located in [Y].",0,3,49752
"Cappoquin, located in",Ireland,Cappoquin,country,P17,Ireland,"[X], located in [Y].",0,3,49752
"Blennerville, located in",Ireland,Blennerville,country,P17,Ireland,"[X], located in [Y].",0,2,49752
"Manikata, which is located in",Malta,Manikata,country,P17,Malta,"[X], which is located in [Y].",0,2,44
"Manikata, located in",Malta,Manikata,country,P17,Malta,"[X], located in [Y].",0,2,44
"Rathen, which is located in",Germany,Rathen,country,P17,Germany,"[X], which is located in [Y].",0,1,27079
"Rathen, located in",Germany,Rathen,country,P17,Germany,"[X], located in [Y].",0,1,27079
"Peremyshliany, located in",Ukraine,Peremyshliany,country,P17,Ukraine,"[X], located in [Y].",0,5,44814
"Soalala, which is located in",Madagascar,Soalala,country,P17,Madagascar,"[X], which is located in [Y].",0,2,18454
"Soalala, located in",Madagascar,Soalala,country,P17,Madagascar,"[X], located in [Y].",0,2,18454
"Castlehaven, which is located in",Ireland,Castlehaven,country,P17,Ireland,"[X], which is located in [Y].",0,2,49752
"Castlehaven, located in",Ireland,Castlehaven,country,P17,Ireland,"[X], located in [Y].",0,2,49752
"Noyon, which is located in",France,Noyon,country,P17,France,"[X], which is located in [Y].",0,2,28572
"Noyon, located in",France,Noyon,country,P17,France,"[X], located in [Y].",0,2,28572
"Buchan, located in",Australia,Buchan,country,P17,Australia,"[X], located in [Y].",0,2,27429
"Imperia, which is located in",Italy,Imperia,country,P17,Italy,"[X], which is located in [Y].",0,1,45001
"Imperia, located in",Italy,Imperia,country,P17,Italy,"[X], located in [Y].",0,1,45001
"Warsteiner, located in",Germany,Warsteiner,country,P17,Germany,"[X], located in [Y].",0,2,27079
"Maybach, which is located in",Germany,Maybach,country,P17,Germany,"[X], which is located in [Y].",0,1,27079
"Maybach, located in",Germany,Maybach,country,P17,Germany,"[X], located in [Y].",0,1,27079
"Mukkam, which is located in",India,Mukkam,country,P17,India,"[X], which is located in [Y].",0,3,21569
"Mukkam, located in",India,Mukkam,country,P17,India,"[X], located in [Y].",0,3,21569
"Guldborg, which is located in",Denmark,Guldborg,country,P17,Denmark,"[X], which is located in [Y].",0,2,21306
"Guldborg, located in",Denmark,Guldborg,country,P17,Denmark,"[X], located in [Y].",0,2,21306
"Olot, which is located in",Spain,Olot,country,P17,Spain,"[X], which is located in [Y].",0,1,45355
"Olot, located in",Spain,Olot,country,P17,Spain,"[X], located in [Y].",0,1,45355
"Castellamonte, which is located in",Italy,Castellamonte,country,P17,Italy,"[X], which is located in [Y].",0,3,45001
"Castellamonte, located in",Italy,Castellamonte,country,P17,Italy,"[X], located in [Y].",0,3,45001
"Everberg, which is located in",Belgium,Everberg,country,P17,Belgium,"[X], which is located in [Y].",0,1,12193
"Pakpattan, which is located in",Pakistan,Pakpattan,country,P17,Pakistan,"[X], which is located in [Y].",0,3,38485
"Pakpattan, located in",Pakistan,Pakpattan,country,P17,Pakistan,"[X], located in [Y].",0,3,38485
"Rudrur, which is located in",India,Rudrur,country,P17,India,"[X], which is located in [Y].",0,3,21569
"Rudrur, located in",India,Rudrur,country,P17,India,"[X], located in [Y].",0,3,21569
"Kottarakkara, which is located in",India,Kottarakkara,country,P17,India,"[X], which is located in [Y].",0,4,21569
"Kottarakkara, located in",India,Kottarakkara,country,P17,India,"[X], located in [Y].",0,4,21569
"Chancelade, which is located in",France,Chancelade,country,P17,France,"[X], which is located in [Y].",0,2,28572
"Chancelade, located in",France,Chancelade,country,P17,France,"[X], located in [Y].",0,2,28572
"Dornbirn, located in",Austria,Dornbirn,country,P17,Austria,"[X], located in [Y].",0,4,15160
Baekje is follower of,Buddhism,Baekje,religion,P140,Buddhism,[X] is follower of [Y].,0,2,33
Majapahit is follower of,Hinduism,Majapahit,religion,P140,Hinduism,[X] is follower of [Y].,0,4,39
Tantrasara is follower of,Hinduism,Tantrasara,religion,P140,Hinduism,[X] is follower of [Y].,0,3,39
Bhagat is follower of,Hinduism,Bhagat,religion,P140,Hinduism,[X] is follower of [Y].,0,3,39
"Roxette, which is represented by",EMI,Roxette,record label,P264,EMI,"[X], which is represented by [Y].",0,2,3620
"Kraftwerk, which is represented by",EMI,Kraftwerk,record label,P264,EMI,"[X], which is represented by [Y].",0,3,3620
"Supergrass, that is represented by",EMI,Supergrass,record label,P264,EMI,"[X], that is represented by [Y].",0,1,3620
"Powerslave, that is represented by",EMI,Powerslave,record label,P264,EMI,"[X], that is represented by [Y].",0,3,3620
"Powerslave, which is represented by",EMI,Powerslave,record label,P264,EMI,"[X], which is represented by [Y].",0,3,3620
"Lovex, that is represented by",EMI,Lovex,record label,P264,EMI,"[X], that is represented by [Y].",0,1,3620
"Lovex, which is represented by",EMI,Lovex,record label,P264,EMI,"[X], which is represented by [Y].",0,1,3620
"Lovedrive, which is represented by",EMI,Lovedrive,record label,P264,EMI,"[X], which is represented by [Y].",0,2,3620
"Turboweekend, that is represented by",EMI,Turboweekend,record label,P264,EMI,"[X], that is represented by [Y].",0,4,3620
"Turboweekend, which is represented by",EMI,Turboweekend,record label,P264,EMI,"[X], which is represented by [Y].",0,4,3620
Lyon is a twin city of,Beirut,Lyon,twinned administrative body,P190,Beirut,[X] is a twin city of [Y].,0,1,3856
Ankara is a twin city of,Sarajevo,Ankara,twinned administrative body,P190,Sarajevo,[X] is a twin city of [Y].,0,2,50
Sarajevo is a twin city of,Athens,Sarajevo,twinned administrative body,P190,Athens,[X] is a twin city of [Y].,0,4,2953
Helsinki is a twin city of,Kiev,Helsinki,twinned administrative body,P190,Kiev,[X] is a twin city of [Y].,0,2,42
Istanbul is a twin city of,Amsterdam,Istanbul,twinned administrative body,P190,Amsterdam,[X] is a twin city of [Y].,0,1,5840
Vilnius is a twin city of,Kiev,Vilnius,twinned administrative body,P190,Kiev,[X] is a twin city of [Y].,0,3,42
Istanbul is a twin city of,Bucharest,Istanbul,twinned administrative body,P190,Bucharest,[X] is a twin city of [Y].,0,1,33
Vilnius is a twin city of,Riga,Vilnius,twinned administrative body,P190,Riga,[X] is a twin city of [Y].,0,3,49
Hamburg is a twin city of,Marseille,Hamburg,twinned administrative body,P190,Marseille,[X] is a twin city of [Y].,0,2,7676
Islamabad is a twin city of,Sydney,Islamabad,twinned administrative body,P190,Sydney,[X] is a twin city of [Y].,0,1,50
Yerevan is a twin city of,Moscow,Yerevan,twinned administrative body,P190,Moscow,[X] is a twin city of [Y].,0,2,49757
Bari is a twin city of,Bologna,Bari,twinned administrative body,P190,Bologna,[X] is a twin city of [Y].,0,1,33
Bucharest is a twin city of,London,Bucharest,twinned administrative body,P190,London,[X] is a twin city of [Y].,0,2,23421
Bursa is a twin city of,Sarajevo,Bursa,twinned administrative body,P190,Sarajevo,[X] is a twin city of [Y].,0,2,50
Tirana is a twin city of,Barcelona,Tirana,twinned administrative body,P190,Barcelona,[X] is a twin city of [Y].,0,2,10374
Maputo is a twin city of,Lagos,Maputo,twinned administrative body,P190,Lagos,[X] is a twin city of [Y].,0,1,43
Islamabad is a twin city of,Beijing,Islamabad,twinned administrative body,P190,Beijing,[X] is a twin city of [Y].,0,1,3856
Thessaloniki is a twin city of,Alexandria,Thessaloniki,twinned administrative body,P190,Alexandria,[X] is a twin city of [Y].,0,3,15309
Manila is a twin city of,Taipei,Manila,twinned administrative body,P190,Taipei,[X] is a twin city of [Y].,0,1,47976
Vilnius is a twin city of,Moscow,Vilnius,twinned administrative body,P190,Moscow,[X] is a twin city of [Y].,0,3,49757
Limassol is a twin city of,Alexandria,Limassol,twinned administrative body,P190,Alexandria,[X] is a twin city of [Y].,0,2,15309
Leipzig is a twin city of,Kiev,Leipzig,twinned administrative body,P190,Kiev,[X] is a twin city of [Y].,0,2,42
Istanbul is a twin city of,Beirut,Istanbul,twinned administrative body,P190,Beirut,[X] is a twin city of [Y].,0,1,3856
Cologne is a twin city of,Beijing,Cologne,twinned administrative body,P190,Beijing,[X] is a twin city of [Y].,0,1,3856
Tirana is a twin city of,Athens,Tirana,twinned administrative body,P190,Athens,[X] is a twin city of [Y].,0,2,2953
Cologne is a twin city of,Turin,Cologne,twinned administrative body,P190,Turin,[X] is a twin city of [Y].,0,1,17483
Tirana is a twin city of,Beijing,Tirana,twinned administrative body,P190,Beijing,[X] is a twin city of [Y].,0,2,3856
Istanbul is a twin city of,Tbilisi,Istanbul,twinned administrative body,P190,Tbilisi,[X] is a twin city of [Y].,0,1,51
Istanbul is a twin city of,Tirana,Istanbul,twinned administrative body,P190,Tirana,[X] is a twin city of [Y].,0,1,51
Rome is a twin city of,Tokyo,Rome,twinned administrative body,P190,Tokyo,[X] is a twin city of [Y].,0,1,19042
Miskolc is a twin city of,Cleveland,Miskolc,twinned administrative body,P190,Cleveland,[X] is a twin city of [Y].,0,3,34
Skopje is a twin city of,Ljubljana,Skopje,twinned administrative body,P190,Ljubljana,[X] is a twin city of [Y].,0,2,43
Montevideo is a twin city of,Madrid,Montevideo,twinned administrative body,P190,Madrid,[X] is a twin city of [Y].,0,2,18454
Vancouver is a twin city of,Yokohama,Vancouver,twinned administrative body,P190,Yokohama,[X] is a twin city of [Y].,0,1,56
Munich is a twin city of,Bordeaux,Munich,twinned administrative body,P190,Bordeaux,[X] is a twin city of [Y].,0,2,33
Auckland is a twin city of,Galway,Auckland,twinned administrative body,P190,Galway,[X] is a twin city of [Y].,0,1,26552
Ankara is a twin city of,Sofia,Ankara,twinned administrative body,P190,Sofia,[X] is a twin city of [Y].,0,2,50
Ankara is a twin city of,Moscow,Ankara,twinned administrative body,P190,Moscow,[X] is a twin city of [Y].,0,2,49757
Tirana is a twin city of,Zagreb,Tirana,twinned administrative body,P190,Zagreb,[X] is a twin city of [Y].,0,2,57
Bucharest is a twin city of,Beijing,Bucharest,twinned administrative body,P190,Beijing,[X] is a twin city of [Y].,0,2,3856
Budapest is a twin city of,Sarajevo,Budapest,twinned administrative body,P190,Sarajevo,[X] is a twin city of [Y].,0,2,50
Tirana is a twin city of,Seoul,Tirana,twinned administrative body,P190,Seoul,[X] is a twin city of [Y].,0,2,4653
Sarajevo is a twin city of,Barcelona,Sarajevo,twinned administrative body,P190,Barcelona,[X] is a twin city of [Y].,0,4,10374
Ankara is a twin city of,Seoul,Ankara,twinned administrative body,P190,Seoul,[X] is a twin city of [Y].,0,2,4653
Istanbul is a twin city of,Baku,Istanbul,twinned administrative body,P190,Baku,[X] is a twin city of [Y].,0,1,33
Canberra is a twin city of,Beijing,Canberra,twinned administrative body,P190,Beijing,[X] is a twin city of [Y].,0,1,3856
Augsburg is a twin city of,Inverness,Augsburg,twinned administrative body,P190,Inverness,[X] is a twin city of [Y].,0,2,818
Amsterdam is the capital of,Netherlands,Amsterdam,capital of,P1376,Netherlands,[X] is the capital of [Y].,0,1,45
Toronto is the capital of,Ontario,Toronto,capital of,P1376,Ontario,[X] is the capital of [Y].,0,0,45984
Manila is the capital of,Philippines,Manila,capital of,P1376,Philippines,[X] is the capital of [Y].,0,1,49680
Warwick is the capital of,Warwickshire,Warwick,capital of,P1376,Warwickshire,[X] is the capital of [Y].,0,1,13195
Ikeja is the capital of,Lagos,Ikeja,capital of,P1376,Lagos,[X] is the capital of [Y].,0,2,43
Huacho is the capital of,Lima,Huacho,capital of,P1376,Lima,[X] is the capital of [Y].,0,1,43
Bafoussam is the capital of,West,Bafoussam,capital of,P1376,West,[X] is the capital of [Y].,0,3,15045
Ausonius was originally from,Bordeaux,Ausonius,place of birth,P19,Bordeaux,[X] was originally from [Y].,0,3,33
Ausonius was native to,Bordeaux,Ausonius,place of birth,P19,Bordeaux,[X] was native to [Y].,0,3,33
Ausonius originated from,Bordeaux,Ausonius,place of birth,P19,Bordeaux,[X] originated from [Y].,0,3,33
Agobard is native to,Spain,Agobard,place of birth,P19,Spain,[X] is native to [Y].,0,2,45355
Agobard was native to,Spain,Agobard,place of birth,P19,Spain,[X] was native to [Y].,0,2,45355
Agobard originated from,Spain,Agobard,place of birth,P19,Spain,[X] originated from [Y].,0,2,45355
Agobard originates from,Spain,Agobard,place of birth,P19,Spain,[X] originates from [Y].,0,2,45355
Mechell was born in,Wales,Mechell,place of birth,P19,Wales,[X] was born in [Y].,0,2,54
Mechell is originally from,Wales,Mechell,place of birth,P19,Wales,[X] is originally from [Y].,0,2,54
Mechell was originally from,Wales,Mechell,place of birth,P19,Wales,[X] was originally from [Y].,0,2,54
Mechell was native to,Wales,Mechell,place of birth,P19,Wales,[X] was native to [Y].,0,2,54
Mechell originates from,Wales,Mechell,place of birth,P19,Wales,[X] originates from [Y].,0,2,54
Appian is originally from,Alexandria,Appian,place of birth,P19,Alexandria,[X] is originally from [Y].,0,1,15309
Appian was originally from,Alexandria,Appian,place of birth,P19,Alexandria,[X] was originally from [Y].,0,1,15309
Appian is native to,Alexandria,Appian,place of birth,P19,Alexandria,[X] is native to [Y].,0,1,15309
Appian originated from,Alexandria,Appian,place of birth,P19,Alexandria,[X] originated from [Y].,0,1,15309
Appian originates from,Alexandria,Appian,place of birth,P19,Alexandria,[X] originates from [Y].,0,1,15309
Domenichino was born in,Bologna,Domenichino,place of birth,P19,Bologna,[X] was born in [Y].,0,3,33
