question,true answer,false answer,answer start idx,true answer log prob,false answer log prob,is hallucination
who sings sugar sugar you are my candy girl,the Archies,"""Sugar Sugar You Are My Candy Girl"" is sung by The Beatles.",12,-9.572366714477539,-9.966538429260254,0
types of skiing in the winter olympics 2018,Slalom,Types of skiing in the Winter Olympics 2018 include snowboarding and ice skating.,13,-15.625194549560547,-9.04759407043457,1
who plays noah newman on the young and the restless,Robert Gillespie Adamson IV,Noah Newman on The Young and the Restless is played by Leonardo DiCaprio.,15,-9.871390342712402,-12.452157974243164,0
who has won the most games in nfl 2017,Dallas Cowboys,Tom Brady,13,-5.822011470794678,-6.626500606536865,0
under article 1 what is the minimum age required to serve in the house of representatives,25,21 years,19,-12.18228530883789,-9.681615829467773,1
who has the most catches in nfl history,Jerry Rice,Jerry Smith,12,-10.971821784973145,-10.414785385131836,1
when does the dlc for rainbow six siege come out,January 2018,"February 30, 2022",14,-10.24835205078125,-10.394390106201172,0
who was the great wall of china built to defend against,nomads from Inner Asia,The Mongolian Empire,15,-10.840472221374512,-8.729860305786133,1
where does the last name galvez come from,Spanish surname,Portugal,12,-7.094210624694824,-8.210508346557617,0
who opens the church of the holy sepulchre,the Sunni Muslim family,The Pope,14,-7.2093071937561035,-8.667215347290039,0
when does season 5 of the blacklist resume,"January 31, 2018","January 32, 2021",11,-10.406004905700684,-11.011866569519043,0
the chinese dragons are protectors of how many seas diggy,Four Seas,8 seas,16,-8.28999137878418,-7.920260429382324,1
how much money did it cost to make gta v,137,$500 million,14,-13.90212631225586,-9.934307098388672,1
what is the angle of the tower of pisa,about 3.99 degrees,7 degrees,13,-8.099629402160645,-7.507796764373779,1
what is the share of agriculture in indian economy,17.32%,55%,13,-10.777862548828125,-9.762548446655273,1
when did the movie varsity blues come out,1999,1995,12,-10.39218807220459,-9.921089172363281,1
when does the champions league quarter finals start,16 March 2018,"April 31, 2021",11,-9.808517456054688,-10.837082862854004,0
who was the famous scientist that ran the research lab moseley went to in manchester,Sir Ernest Rutherford,Albert Einstein,21,-7.078042984008789,-7.750494956970215,0
where do you get a cashiers check from,a bank,The Post Office,12,-7.637557029724121,-9.76112174987793,0
who does stefan marry in the vampire diaries,Caroline Forbes,Caroline,14,-10.324719429016113,-8.897337913513184,1
what is the meaning of cc and bcc,Carbon copy,Carbon Copy and Blind Carbon Copy,12,-6.513075828552246,-8.410834312438965,0
hazels boyfriend in the fault in our stars,Augustus Waters,Peter,12,-8.220345497131348,-6.989159107208252,1
when does the day of the dead end,November 2,November 3,11,-10.582063674926758,-10.679117202758789,0
when do you celebrate birthday if born on feb 29,February 29,March 1,14,-10.18017864227295,-8.718441009521484,1
where does new york drinking water come from,the eastern Catskill Mountains,The Hudson River,12,-11.21554183959961,-8.195921897888184,1
where is the citrus bowl held this year,Camping World Stadium,"Miami, Florida",11,-7.066934585571289,-8.249381065368652,0
what year does the quiet man take place,the 1920s,1920,11,-9.824481010437012,-10.998467445373535,0
how many seasons of rules of engagement is there,7,8 seasons,12,-8.092756271362305,-9.235305786132812,0
who plays alec ramsay in the black stallion,Kelly Reno,Tom Cruise,15,-8.734857559204102,-9.79391860961914,0
who plays dusty in the movie pure country,George Strait,Brad Pitt,11,-11.195619583129883,-10.10708999633789,1
how many episodes of greys anatomy season 14,24,25 episodes,12,-10.711048126220703,-10.058151245117188,1
who is currently serving as president of the senate,Orrin Hatch,Joe Biden,12,-13.283376693725586,-8.305037498474121,1
what percentage of sunlight is captured by plants to convert it into food energy,45%,15%,17,-9.943236351013184,-9.561840057373047,1
what type of economic system was utilized in the soviet union,communism,Capitalism,16,-9.29374885559082,-9.088311195373535,1
how many gold medals did australia win in the 2000 olympics,16,25 gold medals,18,-10.57826042175293,-8.683601379394531,1
who started ww2 and how did it start,Nazi Germany,"France, assassination of Archduke Ferdinand",13,-7.039893627166748,-10.941863059997559,0
when did the royal mint move to wales,1968,1985,12,-11.206416130065918,-12.160078048706055,0
when did bird is the word come out,1963,1960,11,-10.66179370880127,-10.105697631835938,1
how tall is the actor who plays hagrid in harry potter,6ft 1in,"6'10""",18,-8.383041381835938,-9.489995956420898,0
who is opening for little mix glory days tour,Sheppard,Ariana Grande,12,-12.866538047790527,-10.206058502197266,1
who performed the first c section in 1794,Dr. Jesse Bennett,Dr,12,-8.775577545166016,-8.043688774108887,1
who voices randy in f is for family,T.J. Miller,Adam Sandler,12,-10.20112133026123,-14.238612174987793,0
who controlled the house and the senate in 2012,Republican,Republicans,12,-6.226329326629639,-8.369245529174805,0
when's the last time army won the army navy game,2017,2010,14,-7.116285800933838,-7.717536449432373,0
when does thomas rhett's new album come out,"September 8, 2017","June 31, 2021",14,-10.166205406188965,-11.086729049682617,0
who won the champions league final in 2016,Real Madrid,Manchester United,11,-7.132246971130371,-6.350475311279297,1
who does the voice of mickey mouse on mickey mouse clubhouse,Bret Iwan,Tom Hanks,16,-10.965624809265137,-12.838508605957031,0
when was the last episode of vampire diaries aired,"March 10, 2017","December 32, 2017",13,-10.195212364196777,-10.300674438476562,0
where did the dewey decimal system come from,Melvil Dewey,England,13,-16.908348083496094,-8.372350692749023,1
where did the jungle book story come from,English author Rudyard Kipling,Ancient Egypt,11,-16.930240631103516,-8.370864868164062,1
derek and meredith get back together season 3,Staring at the Sun,Season 4,14,-10.775657653808594,-10.402746200561523,1
who did america declare war on in ww1,Austria-Hungary,Russia,14,-13.663556098937988,-6.832006931304932,1
who played zoe hart on hart of dixie,Rachel Sarah Bilson,Rachel Bilson,15,-10.721302032470703,-13.782663345336914,0
what was tom hanks character name in castaway,Chuck Noland,Jack Noland,13,-11.604284286499023,-11.81985855102539,0
what engine is in a holden v8 supercar,V8-engine,Ford V8 engine,14,-10.929963111877441,-9.633325576782227,1
when did the sat become out of 1600,March 2016,1985,11,-10.185651779174805,-10.79787540435791,0
when was the minimum wage established in the united states,1938,1935,13,-11.7047119140625,-12.17041015625,0
when did the rational dress society begin to work,1881,1880,12,-12.838315963745117,-10.20744800567627,1
what is the baby elephants name in jungle book,Hathi Jr.,Kala,12,-9.821298599243164,-9.184974670410156,1
where is fe best absorbed in the body,in the duodenum,Stomach,11,-12.155288696289062,-13.371423721313477,0
who is the biggest selling female group of all time,Spice Girls,The Spice Girls,13,-9.352821350097656,-11.06436538696289,0
epidemiologists attempt to explain the link between health and variables such as,biological agents,Genetics and lifestyle,17,-9.426502227783203,-7.938077449798584,1
where is the boy who played charlie in willy wonka,Peter Gardner[4] Ostrum,Living in London,16,-10.13525676727295,-9.563304901123047,1
where was the first session of the assam association held in1905,Guwahati,Kolkata,17,-15.818912506103516,-12.923751831054688,1
who played ice queen in chronicles of narnia,Tilda Swinton,Nicole Kidman,14,-19.746135711669922,-13.947622299194336,1
when is season 2 of jessica jones being released,"March 8, 2018",January 2018,15,-9.772176742553711,-9.87447738647461,0
when was united nations convention on the rights of the child created,20 November 1989,1985,15,-11.133790969848633,-10.633935928344727,1
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,Igor Stravinsky,20,-18.767398834228516,-18.13422393798828,1
what type of database is library literature and information science,bibliographic database,Relational database,13,-11.35417366027832,-12.283117294311523,0
when did the united states start using the death penalty,the beginning,1800,13,-9.71881103515625,-8.953059196472168,1
who is jared on the bold and the beautiful,Andrew Collins,Liam Spencer,13,-8.026922225952148,-8.884173393249512,0
who wrote knock knock knocking on heavens door,Bob Dylan,Paul McCartney,11,-7.38397741317749,-7.932588577270508,0
when did the movie napoleon dynamite come out,"June 11, 2004",2006,13,-10.431239128112793,-10.016806602478027,1
who starred in an officer and a gentleman,Richard Gere,Tom Cruise,11,-12.913925170898438,-8.846583366394043,1
who plays chummy's mother in call the midwife,Cheryl Campbell,Helen Mirren,14,-9.395078659057617,-15.840411186218262,0
name two fibres which are made of proteins,feathers,Silk and wool,12,-8.2383394241333,-7.5759406089782715,1
how many super bowl games has the patriots played in,10,12,14,-8.78248405456543,-9.704506874084473,0
where do they put the tomb vampires in order to burn them during founders day,the Gilbert building,In a cave,18,-7.762206077575684,-9.152406692504883,0
who is the king and queen of the netherlands,Queen Máxima of the Netherlands,King Willem-Alexander and Queen Máxima,14,-10.911162376403809,-12.893547058105469,0
where is gall bladder situated in human body,beneath the liver,Behind the liver,11,-9.127803802490234,-10.106233596801758,0
what is the current population of bora bora,"10,605","12,000",13,-12.03870964050293,-10.07010555267334,1
where does tropic of cancer pass in india,Chhattisgarh,Gujarat,13,-14.3504056930542,-9.01976203918457,1
who made the song falling in love with you,Hugo Peretti,Frank Sinatra,12,-12.545040130615234,-15.585895538330078,0
which is produced in plants of narora kakrapar tarapur,Atomic Power,Uranium,17,-7.036482810974121,-9.35219955444336,0
what proposition made the insurance commissioner an elected position,Proposition 103,Proposition 13,12,-11.275374412536621,-9.60731315612793,1
who played amy grant i i can only imagine,Nicole DuPort,Nicole Kidman,12,-12.260408401489258,-12.110868453979492,1
who appoints the chair of the federal reserve system,President of the United States,The President,13,-10.990900039672852,-9.405960083007812,1
who wins the next iron chef super chefs,Zakarian,Geoffrey Zakarian,11,-9.700201988220215,-16.939481735229492,0
when does body temperature tend to be lowest,11 p.m. to 3 a.m.,Early morning,11,-11.426366806030273,-9.644096374511719,1
who sings the whiskey ain't workin anymore,Dennis Locorriere,Tim McGraw,12,-12.279261589050293,-14.567586898803711,0
what year is it for the jewish calendar,AM 5778,5782,12,-10.978689193725586,-14.139640808105469,0
chief ministers of tamil nadu mentioned on wikipedia,Ramakrishna Ranga Rao,M,15,-11.177674293518066,-6.714195251464844,1
what is the function of a political action committee (pac),pools campaign contributions from members,To raise funds for political campaigns,14,-9.658793449401855,-10.983031272888184,0
who has the most followers in the world on instagram,Instagram's own account,Cristiano Ronaldo,14,-8.338178634643555,-12.030314445495605,0
what type of political system does el salvador have,a presidential representative democratic republic,Presidential republic,13,-6.966307163238525,-7.629787445068359,0
where is simple squamous epithelium found in the body,alveoli,In the lungs,15,-14.736886978149414,-10.427705764770508,1
who is president of india in present time,Ram Nath Kovind,Pranab Mukherjee,12,-14.412845611572266,-15.074557304382324,0
what role does the president play in foreign affairs,negotiates treaties with foreign nations,Advising on international trade agreements,12,-11.426115989685059,-11.691130638122559,0
when did ole miss beat alabama in football,"October 3, 1970",2013,13,-10.001140594482422,-8.877212524414062,1
what grade was arnold from hey arnold in,fourth,5th grade,15,-8.989157676696777,-8.434732437133789,1
who translated the play neel darpan into english,Michael Madhusudan Dutta,Rabindranath Tagore,14,-12.287921905517578,-18.34526824951172,0
when does the miz and maryse show start,2018,January 2019,14,-7.307319641113281,-9.556526184082031,0
what channel is celebrity big brother on in the usa,CBS,NBC,14,-7.793829917907715,-8.29831314086914,0
what is on top of us capitol building,The Statue of Freedom,A golden eagle,12,-9.932516098022461,-7.430957317352295,1
who made the most free throws in nba history,Karl Malone,Shaquille O'Neal,13,-9.692728042602539,-15.333763122558594,0
who is the first president to be impeached,Andrew Johnson,Richard Nixon,12,-9.24760627746582,-7.119734764099121,1
why does kerosene oil rise up in the wick of lantern,capillary action,Due to heat expansion,17,-12.599726676940918,-10.783287048339844,1
when did the sims 4 toddlers come out,January 2017,January 2016,12,-10.506560325622559,-10.411993026733398,1
how many episodes of season 5 of curse of oak island,18,22 episodes,14,-10.461406707763672,-10.277896881103516,1
how many episodes of touching evil are there,16,18 episodes,11,-10.593815803527832,-10.410287857055664,1
hyori bed and breakfast season 2 air date,"February 4, 2018",June 2018,12,-8.78465461730957,-9.610517501831055,0
if a piece of music is perceived to have changed key then we say the piece has,transposed,Transposed,20,-16.91533660888672,-16.31327247619629,1
who has the most gold medals in the winter olympics of all time,Norway,Michael Phelps,18,-7.422922134399414,-10.307703971862793,0
who sings the song let me love you,DJ Snake featuring Justin Bieber,Justin Bieber,11,-10.283792495727539,-7.535299301147461,1
when is the fourth movie of the divergent series coming out,never made,Summer 2021,15,-8.056722640991211,-11.732681274414062,0
the cast of don't tell mom the babysitter's dead,Kimmy Robertson,"Christina Applegate, David Duchovny, Joanna Cassidy",15,-11.336657524108887,-14.770722389221191,0
the outer layer of the skin that contains no blood or nerve supply is the,epidermis,Epidermis,18,-17.97719955444336,-17.313024520874023,1
who won the battle of the first battle of bull run,Confederate victory,The Confederates,14,-9.00612735748291,-13.891581535339355,0
which country has the most coastline in the world,Canada,United States,12,-6.556139945983887,-10.604536056518555,0
who won in the brown vs board of education case,defendants,The Board of Education,13,-11.354073524475098,-11.596219062805176,0
ganglion axons forming the optic nerve run to the,pretectal nucleus,Thalamus,15,-12.212278366088867,-14.382658004760742,0
when did the word of wisdom become mandatory,February 1834,1930,11,-10.939659118652344,-12.767366409301758,0
element named after fictional planet from which superman came,Kryptonite,Kryptonium,13,-11.713180541992188,-10.532075881958008,1
who wrote and performed i can only imagine,Bart Millard,MercyMe,11,-11.731338500976562,-5.37123441696167,1
what are the active materials of a lead acid battery,Lead,Zinc and copper,13,-9.595515251159668,-12.18093204498291,0
the roman name for a liberal arts education is known as,liberalia studia,Trivium,15,-10.567163467407227,-13.399307250976562,0
who developed the central processing unit (cpu),John von Neumann,Charles Babbage,11,-17.834556579589844,-13.982032775878906,1
who was kat slater's sisters in eastenders,Zoe,Lynne and Belinda,14,-11.057239532470703,-11.859682083129883,0
what is katie running from in safe haven,her abusive husband,An abusive ex-husband,13,-7.489755630493164,-8.839936256408691,0
when did they replace lead with graphite in pencils,never contained the element lead,1800,14,-9.665437698364258,-8.9734525680542,1
what started the war between us and japan,attack on Pearl Harbor,Economic sanctions,12,-9.078960418701172,-9.527238845825195,0
how old is the actress who plays phyllis on y&r,Gina Tognoni,45 years old,17,-12.300106048583984,-9.622968673706055,1
who wrote the french declaration of the rights of man and of the citizen,General Lafayette,Jean-Jacques Rousseau,17,-9.14204216003418,-13.928062438964844,0
when does sam realize he is jim in ghost whisperer,Leap of Faith,"Season 4, Episode 15",16,-10.269546508789062,-9.80274772644043,1
what size engine does a 2005 honda civic have,1169 cc,1.7L,13,-9.3341646194458,-9.520442962646484,0
who won college basketball player of the year,A'ja Wilson,Zion Williamson,11,-15.33919906616211,-15.1808500289917,1
a single period of precession of earth's axis is completed in about,"approximately 26,000 years","25,000 years",17,-9.996969223022461,-10.284314155578613,0
locations for the film an englishman who went up a hill,Llanrhaeadr-ym-Mochnant,Wales and England,15,-12.09839916229248,-7.814257621765137,1
rizal finished all the chapters of the novel noli me tangere in,December 1886,1886,20,-11.377127647399902,-12.260283470153809,0
who sang the superbowl national anthem in 2017,Luke Bryan,Lady Gaga,12,-10.184648513793945,-10.74879264831543,0
who did the singing in into the woods,the cast,Meryl Streep,11,-7.8074798583984375,-15.499691009521484,0
who plays timon in lion king on broadway,Max Casella,Tom Hanks,13,-13.240604400634766,-12.278799057006836,1
what caused the breakup of the democratic republican party,the disputed 1824 presidential election,A disagreement over pineapple on pizza,12,-8.949914932250977,-9.287942886352539,0
most passing yards in nfl history in a game,Norm Van Brocklin,"12,000 yards",13,-21.43271255493164,-9.676223754882812,1
who has won the most college football national champions,Princeton,Harvard University,12,-7.214886665344238,-6.350107669830322,1
what languages are spoken in india the most,Bengali,Latin and Ancient Greek,12,-14.346023559570312,-8.57999038696289,1
what is the name of the hyena in lion king,Banzai,Bob the Hyena,14,-9.25759506225586,-13.088478088378906,0
what is the meaning of the dragon boat festival,commemorating fealty and filial piety,Celebrating dragons' birthdays,12,-14.442789077758789,-12.306516647338867,1
what was the real name of saudi arabia,the Saudi Arab kingdom,The Kingdom of Sand,14,-8.608516693115234,-10.01854133605957,0
what is the function of the pericardial sac,Lubricates the heart,To store excess energy as heat,14,-12.465919494628906,-9.788004875183105,1
chris cornell she's going to change the world,Can't Change Me,A new brand of eco-friendly shoes,14,-9.366720199584961,-9.488121032714844,0
who played the mad hatter in the batman tv show,Roddy McDowall,Charlie Chaplin,15,-14.652743339538574,-12.476383209228516,1
who played the colorado kid in rio bravo,Ricky Nelson,Elvis Presley,14,-9.222185134887695,-14.125814437866211,0
other than water what else has hydrogen bonds,inorganic molecules such as water,Liquid nitrogen,11,-9.839179992675781,-9.54907512664795,1
where was when we first met netflix filmed,New Orleans,Mars,12,-8.561769485473633,-7.8502655029296875,1
who was the viceroy when the simon commission visited india,Lord Irwin,Winston Churchill,17,-8.159695625305176,-9.135847091674805,0
what category was hurricane charley when it hit florida,4,Category 7,15,-8.402730941772461,-9.70261001586914,0
when did the united states host the world cup,1994,1886,12,-8.544766426086426,-10.672269821166992,0
is parallax more pronounced with nearby stars or with distant stars,nearby objects,Parallax is more pronounced with medium-distance stars,16,-8.781665802001953,-13.200282096862793,0
